Episode,Total Reward,Actor Loss,Critic Loss,Collision Count,Completion Time,Termination State,Step Count,Distance To Goal
0,-20.941560928894848,0.9922871924936771,0.451660118997097,45,85.44,{'Drone1': 'Timeout'},120,23.444149089191786
1,157.04529335671555,3.092686016112566,0.515867106616497,0,76.94,{'Drone1': 'Timeout'},120,2.664301737091603
2,101.5633804115303,6.1311152800917625,0.5168853476643562,4,80.40,{'Drone1': 'Timeout'},120,6.153869134209203
3,428.5137568003313,1.9488491378724575,0.4789269082248211,6,78.59,{'Drone1': 'Timeout'},120,1.5152230280118428
4,159.75124165670493,1.0141534097492695,0.47760574519634247,5,78.69,{'Drone1': 'Timeout'},120,10.253529649909002
5,69.74809742975188,0.4867667965590954,0.49249641597270966,16,81.59,{'Drone1': 'Timeout'},120,9.011561032654107
6,97.38123023432145,0.6081530302762985,0.41180936247110367,6,79.51,{'Drone1': 'Timeout'},120,10.706678150387946
7,106.32789808425879,0.6284492155537009,0.2808715756982565,4,79.72,{'Drone1': 'Timeout'},120,14.435101030367903
8,142.0366589761777,0.2213942939415574,0.5018023401498795,0,77.10,{'Drone1': 'Timeout'},120,6.206679246945341
9,108.49395556229692,3.706372046843171,0.5837849751114845,28,83.30,{'Drone1': 'Timeout'},120,7.838334999745619
10,56.1150923431161,0.20424312795512378,0.39740917831659317,45,86.94,{'Drone1': 'Timeout'},120,10.804173570913637
11,396.8021224555642,0.5271063558757305,0.6233699433505535,8,80.75,{'Drone1': 'Timeout'},120,10.098831098668706
12,330.2048288485284,0.37599216029047966,0.3732280880212784,9,79.52,{'Drone1': 'Timeout'},120,3.660024030869679
13,63.915865675878315,0.22047399077564478,0.46164749562740326,33,84.42,{'Drone1': 'Timeout'},120,14.783394782816565
14,456.2610180716506,0.9398332238197327,0.6400672793388367,4,35.96,{'Drone1': 'Goal Reached'},50,0.33643301632618805
15,463.03849945416084,0.4271838888525963,0.45209693163633347,3,34.34,{'Drone1': 'Goal Reached'},49,0.32663847249537725
16,487.7149673893732,0.6245218962430954,0.30686794966459274,0,33.34,{'Drone1': 'Goal Reached'},48,0.1969830173148671
17,392.65943178378603,0.33477493561804295,0.4583405517041683,4,79.58,{'Drone1': 'Timeout'},120,3.0114719910831087
18,58.92365615508699,0.2759357616305351,0.5593171045184135,38,85.31,{'Drone1': 'Timeout'},120,8.946123154042537
19,344.4391857867618,0.36506311409175396,0.2723213918507099,5,80.65,{'Drone1': 'Timeout'},120,11.368180655014893
20,214.10793012036046,0.3023929223418236,0.31989909149706364,6,79.51,{'Drone1': 'Timeout'},120,2.1551558317097728
21,90.55011870016354,0.6119081079959869,0.2233652975410223,13,80.61,{'Drone1': 'Timeout'},120,17.272926854512452
22,600.4573731270284,0.3043204937130213,0.6796464696526527,0,69.86,{'Drone1': 'Goal Reached'},108,0.2532739620821265
23,422.1982273554976,0.4515189379453659,0.3904901146888733,0,39.63,{'Drone1': 'Goal Reached'},58,0.40318941057265806
24,249.27206423999007,0.3996790386736393,0.3122943751513958,0,89.67,{'Drone1': 'Timeout'},120,5.020395104792494
25,226.60170032637194,0.36762988939881325,0.2723667901009321,4,80.37,{'Drone1': 'Timeout'},120,2.8835965711635434
26,318.59584447406434,0.17582975141704082,0.26725561171770096,5,79.39,{'Drone1': 'Timeout'},120,6.224364429389597
27,127.20579601697341,0.02467374922707677,0.07797593483701348,10,80.44,{'Drone1': 'Timeout'},120,20.149081975689082
28,216.64040896313762,0.06755324266850948,0.196493748575449,10,80.20,{'Drone1': 'Timeout'},120,2.1124064094911987
29,194.66299637055278,0.14331684913486242,0.28967417776584625,20,82.22,{'Drone1': 'Timeout'},120,8.042492772891514
30,214.8725410897018,0.3272022642195225,0.6256482005119324,1,77.42,{'Drone1': 'Timeout'},120,1.9570362044495722
31,406.20379568340127,0.11708048544824123,0.15221109986305237,0,27.85,{'Drone1': 'Goal Reached'},41,0.43553467770578597
32,382.2776461740116,-0.006938734353752807,0.05518733337521553,0,17.76,{'Drone1': 'Goal Reached'},23,0.40244166448140173
33,384.0050000199393,-0.025367505149915814,0.02038182783871889,0,19.64,{'Drone1': 'Goal Reached'},26,0.33624992366393186
34,244.35158574093063,0.09295711992308497,0.4296320900321007,8,80.16,{'Drone1': 'Timeout'},120,3.6182383623076246
35,349.16379808935307,0.0550325361546129,0.09571561450138688,2,78.69,{'Drone1': 'Timeout'},120,11.965348737149613
36,596.7294433349017,0.6610024692490697,0.4268585667014122,1,71.28,{'Drone1': 'Goal Reached'},108,0.23800585029150187
37,272.52687251769146,0.3330424316227436,0.5150518231093884,10,81.00,{'Drone1': 'Timeout'},120,4.631081392531012
38,44.8077448685023,0.30844111181795597,0.13323387503623962,66,91.87,{'Drone1': 'Timeout'},120,6.892485623358313
39,68.00306089436299,0.2722764052450657,0.33413010835647583,33,85.15,{'Drone1': 'Timeout'},120,6.6708271219544635
40,95.27037791121438,0.16866482910700142,0.031046242220327258,29,86.12,{'Drone1': 'Timeout'},120,12.402531202204838
41,109.25272620414255,0.05688458448275924,0.03256113803945482,14,80.92,{'Drone1': 'Timeout'},120,10.719868902247995
