Episode,Reward,Critic Loss,Actor Loss
1,-30.04216028,42.10581207,0.033070832
1,-33.04435606,41.86302567,0.109144516
1,-36.22461613,27.65660286,0.165719494
2,-30.05236411,55.84366989,0.226405308
2,-30.52978212,28.36120987,0.309763014
2,-32.16033379,41.94045639,0.395644188
2,-37.72760664,14.42271805,0.459148467
2,-40.37106446,0.257993042,0.432175577
2,-45.30054882,14.01318264,0.47714138
2,-44.21191527,40.66772461,0.430269033
2,-51.21995937,13.34591961,0.476395965
3,-30.02839584,13.84215069,0.466364592
3,-32.5251206,40.83216858,0.403162062
3,-36.02249161,13.99835014,0.374121249
3,-37.8514864,0.152578324,0.350832939
3,-41.03648313,40.9594574,0.395598739
3,-42.5140543,27.20992851,0.4000642
4,-30.30536465,14.32953453,0.340239733
4,-124.9896482,26.73612785,0.386025012
5,-30.04735074,0.363718033,0.449048281
5,-33.45020966,39.97900391,0.398146629
6,-29.97897506,28.94001389,0.353293151
7,-30.02425223,0.335237145,0.421034485
8,-30.002067,55.43510437,0.393236607
8,-32.9139396,14.01276398,0.425190419
9,-30.12068804,55.1125145,0.417720199
9,-33.75432081,55.13498306,0.472954392
10,-30.172248,14.38070202,0.527088523
10,-40.06989625,41.97213364,0.526910663
11,-30.08271393,26.76992226,0.630049109
12,-30.03190837,67.60021973,0.677478969
12,-31.10854779,40.86011505,0.762406707
13,-30.10266249,53.71839905,0.836588502
14,-30.08235129,68.87863159,0.967097282
15,-30.29918767,40.79003525,0.967229724
16,-30.06229478,39.44671631,0.958698928
17,-29.97272867,80.21694183,1.188370228
17,-37.24716531,79.68296051,1.265285134
18,-30.22856338,76.56193542,1.407679558
19,-29.94516664,116.149498,1.368605852
19,-34.30520553,1.569653153,1.456870437
20,-29.98413608,51.70928955,1.427608371
21,-30.02160155,38.60091782,1.619864225
22,-30.06084941,2.182910442,1.712142706
23,-30.13184195,61.93233109,1.74235034
24,-30.19311399,102.685997,1.857332468
25,-30.04092541,87.28133392,1.898691177
26,-29.9802345,66.54251862,1.876155138
27,-29.96468409,75.99295807,1.729869485
28,-30.0904536,83.78942108,2.083750248
28,-32.57723087,61.85237503,2.175016165
29,-30.05892277,83.27400208,2.229277134
29,-36.42396924,63.76116943,2.405909777
30,-30.02244754,70.33657837,2.423584461
31,-29.95235561,96.81594849,2.696027756
31,-32.26941651,62.85781479,2.382669449
32,-29.99997338,97.09584045,2.789918184
33,-30.05248131,54.60609055,2.72207737
33,-32.57851232,46.53303528,2.745095253
34,-30.06939043,115.9647141,2.887433767
35,-29.96786127,66.08588409,2.710457325
35,-31.14259577,73.43494415,3.135263443
36,-29.99810071,68.17552948,2.78930521
36,-31.11959218,74.59922791,3.069142342
37,-30.06213423,87.49263763,3.20164299
38,-30.19998962,42.58459091,2.921936512
39,-30.03683366,90.37606812,3.129616976
39,-26.23854915,82.7579422,2.902205944
39,-37.42223992,68.37879181,3.178497314
40,-30.02053784,44.20565796,3.464099646
40,-30.49161559,23.76555634,3.132935524
40,-28.46293659,27.9462471,2.990412712
40,-28.72198958,83.51597595,2.967638016
41,-30.11279601,52.83932114,3.155583382
41,-27.61762593,61.44192123,2.891294956
41,-33.66872051,40.51980591,2.978605509
42,-30.03134573,64.41977692,3.320496082
42,-25.8292088,49.07933807,2.403904915
42,-24.64052407,62.11564636,2.751934528
43,-30.0391569,7852.111816,2.759989023
43,-28.95761352,28.0732975,2.39171052
43,-27.43889896,40.06262589,2.53766489
44,-30.23184639,47.20190048,2.3986516
44,-34.68988414,53.19949722,1.839418173
44,-35.94973093,82.84022522,2.212239027
44,-37.23585708,56.12545776,2.329242468
44,-44.00338514,48.57970047,2.260830879
44,-42.05924852,84.56747437,2.214058876
44,-47.12786986,24.20850372,1.845533609
44,-50.75666504,34.86108017,2.125403404
45,-30.08365521,14.85741806,1.70240736
45,-34.38811239,47.51682281,2.25677824
45,-30.48408199,27.26635361,1.904663205
45,-38.91015563,37.98873138,2.018550158
45,-39.04736938,41.55445862,1.845003843
45,-41.46101711,57.98868561,2.032737255
45,-36.35212907,35.35837555,2.127130747
46,-30.08112833,51.19522858,1.777935863
47,-30.05136984,38.61984634,1.98756814
48,-29.93263016,35.40210724,1.879240394
49,-29.9690131,88.65586853,2.231165648
49,-24.58975873,27.07931519,2.197866917
50,-30.07445813,54.05245972,2.117020845
51,-30.10181928,32.21390152,2.077934265
51,-32.89818033,41.8278389,2.342168093
51,-33.87265881,7738.715332,2.013750792
51,-39.13693639,110.9299011,1.800009727
51,-39.09784734,62.13296509,1.858713984
51,-39.62236785,71.4307251,1.976344109
52,-30.08732528,76.41751099,1.983783722
53,-29.95498774,45.16464615,1.93541944
53,-32.78931102,45.0592804,2.260281086
53,-35.74085414,38.1032753,1.953167439
53,-72.76006687,95.67201233,2.326187134
53,-73.25939675,76.17495728,2.369419098
53,-76.16294455,31.55937195,2.45646143
53,-76.45940246,59.40641785,2.328090191
54,-30.07554919,24.52664948,2.546787739
54,-30.41699199,49.68105316,2.557425261
55,-29.99119286,38.66765976,2.185545444
55,-33.65042205,38.82961655,2.297071934
56,-30.163888,70.84369659,2.690847397
56,-30.32639179,25.19389343,2.591821909
57,-30.17286419,51.87301636,2.139418364
58,-30.09019058,22.60799789,2.806019068
58,-31.30358236,66.73587799,2.514083862
59,-30.02329202,36.95906067,2.431072712
59,-31.1161878,41.14507675,2.643089294
59,-27.86769963,71.90539551,2.407702684
60,-30.11274524,16.08019638,2.410529613
60,-88.87329211,56.93519592,2.802439928
61,-30.00803695,34.08049774,2.766219139
62,-30.1096328,15.77425766,2.452676058
62,-29.91147467,30.53671646,2.113072395
63,-29.98090896,19.30378914,2.325716972
64,-30.04671461,41.65322495,2.565123081
64,-31.95811661,7789.757324,2.326709986
64,-33.59169867,39.44067764,2.335925102
65,-30.19080191,40.39280701,2.011185646
65,-24.06436113,76.7589035,2.025561333
66,-30.06740424,24.63038635,2.266669035
66,-29.98418694,74.92047119,2.225123882
67,-30.08629757,65.08237457,2.194867134
68,-29.93699947,24.60456276,1.960900903
68,-32.91086778,45.72395706,2.143829584
69,-30.1674875,40.87594604,2.094000816
70,-30.18407032,62.33255005,2.286421061
71,-29.99962262,13.35237503,2.414437294
72,-30.05704472,49.99543762,2.421194077
73,-30.05350461,74.14953613,2.187188625
73,-86.79310442,7770.713867,2.497893333
74,-30.05404812,48.72737885,2.13160944
74,-85.97032346,26.66277122,2.346372843
75,-29.99688139,56.46088028,2.733432055
76,-29.99261331,60.49576187,2.506655216
77,-30.11447352,49.16333389,2.440472603
78,-30.08558796,56.52693939,2.164606094
78,-30.88935761,59.09780502,2.519831896
79,-30.10629555,45.37057114,2.105834484
79,-27.16910254,53.15426636,2.749933958
80,-30.1202448,36.57910538,2.647605181
81,-30.17199326,19.49155045,2.606455088
81,-53.02537684,33.49362946,2.560451984
82,-30.05978341,25.19258499,2.536153555
83,-30.14583483,72.19026184,2.870803595
84,-29.98339747,62.33503723,2.888188839
84,-27.60976074,50.68323517,3.247253895
85,-30.15781377,58.89625549,3.189973354
86,-30.03820017,56.68869781,3.304228544
86,-28.08263993,82.59568787,3.022926807
87,-30.25971618,7833.154785,3.475369215
88,-30.1643015,35.15982056,3.933345795
88,-55.18124918,43.25418472,3.33854866
89,-30.11144313,49.36991882,3.009716749
90,-30.02756245,22.79221535,3.208600998
91,-30.0143038,30.94846535,3.74480176
92,-30.21032502,69.27330017,3.362155914
93,-30.08040029,76.48810577,3.665313482
94,-30.12986515,71.92129517,3.577952147
95,-30.13770263,92.50785065,3.714541912
96,-30.06896376,4.542921066,2.903205156
96,-22.05325291,59.43709564,3.856729984
97,-30.06770744,63.2943573,4.293720245
98,-30.04980505,24.71898079,3.523636103
98,-25.6574214,51.66788101,3.906609535
99,-30.15793703,24.22261429,3.747355461
100,-29.90799215,56.45734024,3.813503265
100,-24.6979573,51.31058884,3.976978779
101,-30.02553056,53.09250641,3.369274378
102,-30.09021085,41.268013,3.700969458
103,-30.34768567,55.96972275,3.449092388
104,-30.1133749,66.4726181,3.730412483
105,-29.99793093,92.64804077,3.545462608
105,-24.60242106,61.93051147,3.500827551
106,-30.03137479,32.69667816,3.396113873
107,-30.0699808,53.19333649,3.126315117
108,-30.14530003,76.34321594,3.603188753
108,-22.84918348,57.88370895,3.414063931
109,-30.10348338,58.1583252,2.915472269
110,-30.17797472,51.61348343,2.745491743
111,-30.12988571,62.82587433,3.800068617
112,-30.10906406,49.41952515,2.948977947
113,-30.16090192,36.9828186,3.317230225
114,-29.96238904,28.87561798,3.756726265
115,-30.06596084,22.60217667,3.92159462
115,-27.35806513,63.78286743,3.059305906
115,-28.46201202,56.19805908,3.539241076
116,-30.08317011,35.30715561,3.739602566
116,-24.06480827,57.29844284,3.456450224
117,-30.01619026,64.5221405,3.583559752
117,-23.55736988,14.6815958,3.460644722
118,-30.12758923,83.7081604,3.201566696
118,-28.69049,58.6277771,3.287210703
119,-29.98475164,40.20796585,3.557150841
120,-30.14981006,88.60910034,3.696658611
120,-25.5103889,75.92206573,3.456283808
121,-30.03836266,67.00348663,3.977347851
122,-30.22004626,46.55053711,3.850758314
122,-22.67044747,73.72588348,3.450459242
123,-30.16233911,87.92962646,3.910559654
123,-24.80681408,36.95331955,3.303222895
124,-30.00716058,51.24111938,3.785794735
124,-23.80885502,51.2667923,3.829615116
125,-30.18200773,63.49311447,3.878774405
125,1374.958807,55.21627808,3.353353977
126,-29.92522243,22.46800232,3.282432079
126,-26.45241038,47.63177109,3.742214918
127,-30.06136921,45.1127739,3.69908762
127,-55.89888748,95.64768982,3.82679534
128,-30.01193427,71.06858063,3.688719749
128,-23.90507974,32.80925369,4.503428459
129,-30.08660279,19.07779503,4.165857792
129,-23.44992238,54.47412109,4.398515224
130,-30.03273195,43.12598419,3.528844118
130,-21.13274139,74.36183929,4.717944145
131,-30.07140412,80.84482574,3.868217945
131,679.2668093,68.85794067,4.030309677
132,-29.98296587,65.6522522,4.441676617
132,-23.05328825,108.9704056,4.211750984
132,-94.39140553,33.68482208,3.885489464
133,-30.12880106,51.06578445,3.824631453
133,-25.69749967,24.82619095,4.418597221
134,-29.98014768,30.44649887,4.633458138
134,-24.40740167,30.05745506,5.068432808
135,-30.10197869,65.6509552,4.303778172
135,-24.67969576,42.92100143,4.121945381
136,-30.08898541,53.67850494,4.452002525
136,-24.04072544,49.10656738,4.72040987
137,-29.97117351,61.08850861,4.20720911
137,-23.73116017,59.57213211,4.47982502
138,-30.13073199,66.11972046,3.980933905
